Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-17,WIPRO,EQ,437.55,435.9,439.0,428.5,430.3,430.2,432.63,7390192,319718684610000.0,80438,1740406,0.23550000000000001
2021-02-18,WIPRO,EQ,430.2,430.3,436.65,429.35,433.1,432.95,432.81,8385736,362941194005000.0,71721,1991955,0.23750000000000002
2021-02-19,WIPRO,EQ,432.95,433.15,435.75,426.1,430.6,429.95,431.28,8478666,365668649110000.0,86014,2010960,0.2372
2021-02-22,WIPRO,EQ,429.95,430.7,432.85,416.0,417.9,418.7,422.91,10666087,451081228810000.06,134823,3348376,0.3139
2021-02-23,WIPRO,EQ,418.7,419.7,426.0,414.3,415.95,415.5,419.17,8992353,376928040805000.0,111306,2574867,0.2863
2021-02-24,WIPRO,EQ,415.5,417.7,425.8,414.75,423.9,423.1,419.2,5060297,212129770350000.0,58620,1735522,0.34299999999999997
2021-02-25,WIPRO,EQ,423.1,423.1,429.0,420.45,421.95,421.3,424.69,9110392,386913557775000.0,87331,2826580,0.3103
2021-02-26,WIPRO,EQ,421.3,417.95,419.85,408.0,409.1,410.3,413.09,11731941,484633518135000.06,134357,4027619,0.3433
2021-03-01,WIPRO,EQ,410.3,411.0,418.7,409.2,416.0,414.4,414.87,6421696,266419168705000.03,73357,2100878,0.3272
2021-03-02,WIPRO,EQ,414.4,419.7,433.1,418.25,433.0,430.4,426.86,14875234,634966183405000.0,138374,3498282,0.2352
2021-03-03,WIPRO,EQ,430.4,433.0,436.65,428.25,434.75,435.5,433.26,8782452,380507733770000.0,105714,2093994,0.2384
2021-03-04,WIPRO,EQ,435.5,428.9,444.3,427.5,439.0,438.8,439.03,12963797,569147184140000.0,163014,3892815,0.3003
2021-03-05,WIPRO,EQ,438.8,440.0,440.0,417.0,422.0,420.85,426.19,43931172,1872318445955000.0,404654,10878820,0.24760000000000001
2021-03-08,WIPRO,EQ,420.85,425.1,425.15,415.55,417.1,416.9,418.53,12354838,517093170870000.0,148931,2570377,0.20800000000000002
2021-03-09,WIPRO,EQ,416.9,419.8,422.8,410.05,422.4,419.2,416.27,11905629,495599470845000.0,126287,3942732,0.3312
2021-03-10,WIPRO,EQ,419.2,426.1,430.7,423.0,425.8,426.7,427.09,17291368,738495302005000.0,158961,3030722,0.1753
